pr_auc,brier,threshold,precision,recall,f1,tp,fp,fn,tn,method,seed,route,val_pr_auc,best_params
0.7794463975389695,0.0006616921116215635,0.387,0.8247422680412371,0.8163265306122449,0.8205128205128205,80,17,18,56847,M9,42,容量层,0.7565030523223989,"{'n_estimators': 80, 'max_depth': 10, 'min_samples_leaf': 5, 'max_samples': 0.25}"
0.8498922293913378,0.0008324826485477388,0.489,0.7,0.8571428571428571,0.7706422018348624,84,36,14,56828,M10,42,容量层,0.8011860589975321,"{'n_estimators': 80, 'max_depth': 6, 'learning_rate': 0.1}"
0.7639259483968179,0.0006975686378159952,0.41200000000000003,0.8095238095238095,0.6938775510204082,0.7472527472527473,68,16,30,56848,M9,123,容量层,0.8176489433636283,"{'n_estimators': 80, 'max_depth': 10, 'min_samples_leaf': 5, 'max_samples': 0.25}"
0.7862724841352567,0.000771249586250633,0.41100000000000003,0.7339449541284404,0.8163265306122449,0.7729468599033816,80,29,18,56835,M10,123,容量层,0.8257705368260713,"{'n_estimators': 80, 'max_depth': 6, 'learning_rate': 0.1}"
0.7701638072964643,0.0006679180537597554,0.361,0.7884615384615384,0.8367346938775511,0.8118811881188119,82,22,16,56842,M9,456,容量层,0.822345521448339,"{'n_estimators': 80, 'max_depth': 10, 'min_samples_leaf': 5, 'max_samples': 0.25}"
0.8653894030572972,0.0007520599174313247,0.45,0.7024793388429752,0.8673469387755102,0.776255707762557,85,36,13,56828,M10,456,容量层,0.85925988560337,"{'n_estimators': 80, 'max_depth': 6, 'learning_rate': 0.1}"
