,pr_auc,pr_auc,brier,brier,precision,precision,recall,recall,f1,f1
,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,
M9,0.6835920376980892,0.019610245097750112,0.0007940475690801798,2.102656306801409e-05,0.7804286052569264,0.027923338639276325,0.7755102040816326,0.08836993916167746,0.7752370831924519,0.03758476937732796
